FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,Target
97,190,103,65,247,moderate
112,78,72,192,252,moderate
255,97,14,177,152,moderate
186,37,193,224,262,moderate
79,26,36,1,187,mild
17,246,42,298,68,moderate
298,134,289,26,150,moderate
233,172,297,60,64,moderate
279,53,269,7,285,moderate
9,76,243,198,237,moderate
71,66,193,63,39,mild
87,220,133,55,121,moderate
258,271,225,185,227,severe
242,27,235,184,11,moderate
167,120,71,62,45,mild
72,106,29,274,239,moderate
235,125,88,62,149,moderate
151,124,2,285,102,moderate
286,116,202,139,238,moderate
121,172,142,261,105,moderate
100,28,92,95,275,moderate
183,217,19,281,266,moderate
271,191,89,283,188,severe
42,181,48,20,259,moderate
70,33,23,119,235,mild
137,49,19,2,25,mild
238,150,133,167,150,moderate
179,5,217,143,56,moderate
0,215,87,226,192,moderate
116,206,100,167,239,moderate
114,56,214,174,224,moderate
62,47,266,88,15,mild
162,11,95,269,8,moderate
146,224,117,181,30,moderate
190,156,220,11,152,moderate
48,173,296,106,182,moderate
249,47,251,223,235,severe
264,287,23,178,210,moderate
141,117,261,169,117,moderate
52,73,121,103,120,mild
190,187,77,72,200,moderate
154,150,252,157,21,moderate
56,99,80,274,173,moderate
165,184,34,111,140,moderate
57,202,255,26,149,moderate
85,211,34,120,4,mild
43,15,217,208,214,moderate
147,11,267,269,77,moderate
76,227,56,227,255,moderate
136,297,12,226,224,moderate
240,257,5,192,28,moderate
173,154,197,294,31,moderate
44,157,4,212,203,moderate
95,279,257,28,253,moderate
194,13,6,85,240,moderate
218,165,54,90,183,moderate
200,233,23,99,85,moderate
154,118,40,165,163,moderate
251,40,200,187,111,moderate
236,49,47,284,119,moderate
43,240,292,277,75,moderate
264,40,49,182,109,moderate
46,92,246,284,0,moderate
216,58,183,288,239,moderate
264,89,165,224,4,moderate
148,37,144,52,183,moderate
29,64,113,191,131,moderate
163,84,246,153,123,moderate
170,193,1,62,268,moderate
120,175,53,67,34,mild
109,134,100,236,154,moderate
229,135,144,262,173,moderate
298,182,137,58,156,moderate
109,105,253,238,173,moderate
121,36,127,159,170,moderate
225,143,158,290,297,severe
11,246,233,153,160,moderate
292,207,260,160,127,severe
78,286,112,24,49,moderate
286,52,175,141,44,moderate
100,196,11,161,31,mild
77,288,21,113,205,moderate
226,103,84,85,82,moderate
294,24,63,78,165,moderate
299,205,223,61,266,severe
125,64,250,10,249,moderate
168,30,64,99,169,moderate
135,169,120,208,15,moderate
278,225,55,272,4,moderate
74,23,261,247,239,moderate
54,214,30,134,220,moderate
234,58,117,251,203,moderate
212,101,127,157,140,moderate
220,202,144,96,214,moderate
268,31,214,138,194,moderate
5,92,11,266,168,moderate
120,131,8,100,129,mild
95,85,229,55,195,moderate
91,293,130,249,173,moderate
128,154,89,36,71,mild
166,254,3,247,35,moderate
282,124,234,50,219,moderate
296,244,147,132,243,severe
110,32,217,70,79,moderate
205,27,24,145,133,moderate
121,86,75,188,34,moderate
200,24,18,34,235,moderate
128,196,112,120,60,moderate
86,164,167,195,90,moderate
31,285,269,41,197,moderate
186,135,279,261,277,severe
122,138,52,102,9,mild
98,1,27,43,245,mild
186,81,140,247,239,moderate
225,108,99,11,282,moderate
152,188,261,64,210,moderate
85,173,49,30,261,moderate
291,164,10,12,141,moderate
215,275,51,193,104,moderate
274,34,26,221,206,moderate
185,0,203,59,277,moderate
201,230,166,221,237,severe
64,101,209,51,110,moderate
234,165,106,48,25,moderate
199,11,34,171,143,moderate
171,76,88,17,255,moderate
39,56,156,65,4,mild
4,191,205,179,130,moderate
75,195,202,166,205,moderate
59,282,73,264,3,moderate
281,187,42,121,128,moderate
63,136,175,153,81,moderate
164,42,149,53,212,moderate
62,267,212,179,157,moderate
286,254,45,171,140,moderate
30,299,223,129,70,moderate
182,63,106,252,5,moderate
216,158,160,294,93,moderate
180,200,181,18,226,moderate
147,142,150,130,289,moderate
5,157,76,179,102,moderate
184,271,135,214,73,moderate
145,151,198,267,185,moderate
152,294,161,266,232,severe
133,106,205,162,157,moderate
146,234,222,60,265,moderate
272,182,160,234,258,severe
198,209,200,146,40,moderate
204,192,19,242,58,moderate
271,213,33,205,220,moderate
244,198,55,120,56,moderate
297,88,219,239,235,severe
24,140,104,123,24,mild
129,239,207,154,26,moderate
254,89,111,41,150,moderate
12,234,23,274,217,moderate
208,270,169,90,215,moderate
243,30,184,270,288,severe
276,88,45,167,56,moderate
204,108,227,176,253,moderate
78,75,58,214,221,moderate
57,238,111,223,208,moderate
22,117,163,197,119,moderate
187,211,42,77,108,moderate
112,72,9,214,152,moderate
252,130,193,236,221,severe
78,203,149,65,26,moderate
150,49,21,90,167,mild
256,112,57,19,46,mild
267,247,118,142,258,severe
154,293,174,266,69,moderate
268,21,76,171,181,moderate
178,8,163,255,22,moderate
291,26,206,295,116,moderate
22,272,28,143,81,moderate
99,123,153,22,19,mild
67,13,126,149,97,mild
284,150,82,248,111,moderate
112,279,206,90,125,moderate
206,218,190,25,79,moderate
180,232,251,239,8,moderate
122,221,262,119,297,severe
195,74,166,47,242,moderate
2,266,205,149,162,moderate
45,46,97,21,91,mild
156,66,135,140,45,moderate
121,235,223,109,172,moderate
256,256,109,111,6,moderate
87,145,96,240,8,moderate
272,16,216,141,188,moderate
75,74,44,47,1,mild
231,26,58,69,199,moderate
232,94,234,12,45,moderate
210,127,113,253,279,moderate
250,18,81,99,52,moderate
277,119,295,52,44,moderate
271,85,6,56,280,moderate
229,32,85,258,47,moderate
249,225,96,217,139,moderate
72,214,189,198,58,moderate
114,227,273,101,10,moderate
61,71,216,45,19,mild
172,258,148,155,265,moderate
180,101,39,9,8,mild
9,164,152,261,220,moderate
186,44,90,13,195,moderate
251,240,63,175,284,severe
101,286,86,45,83,moderate
251,74,156,103,169,moderate
74,195,101,186,286,moderate
189,94,38,122,295,moderate
111,95,14,57,205,mild
225,19,187,142,122,moderate
183,88,90,137,291,moderate
47,82,174,147,123,moderate
39,46,112,292,101,moderate
217,250,48,150,41,moderate
156,23,299,291,227,moderate
78,246,31,162,43,moderate
277,165,16,88,183,moderate
95,45,270,150,275,moderate
239,106,82,174,167,moderate
181,77,8,31,8,mild
23,85,291,83,1,mild
88,60,279,127,233,moderate
161,69,212,276,239,moderate
260,250,190,39,215,moderate
154,272,65,110,292,moderate
292,27,219,155,294,moderate
46,71,20,265,222,moderate
273,27,156,92,249,moderate
293,65,193,282,156,moderate
245,96,12,260,72,moderate
27,262,193,119,35,moderate
31,187,166,141,59,moderate
56,120,251,191,0,moderate
178,295,154,115,85,moderate
273,257,274,9,281,severe
255,151,153,159,167,moderate
158,224,254,4,56,moderate
19,167,35,207,179,moderate
147,100,264,225,108,moderate
298,265,260,89,95,severe
187,9,169,262,289,moderate
123,147,218,147,46,moderate
220,211,118,90,24,moderate
5,167,282,199,38,moderate
227,44,136,86,4,mild
196,250,261,84,25,moderate
233,80,35,274,223,moderate
142,151,293,189,184,moderate
60,143,73,70,184,moderate
13,15,8,207,117,mild
116,193,9,269,20,moderate
250,224,224,176,66,moderate
172,199,264,58,129,moderate
34,284,38,298,129,moderate
103,110,56,14,191,mild
71,191,260,260,19,moderate
199,183,256,191,113,moderate
218,202,254,233,65,moderate
265,139,210,243,212,severe
61,22,236,17,42,mild
164,131,277,156,0,moderate
193,109,93,249,134,moderate
210,33,136,298,262,moderate
194,164,131,252,157,moderate
155,241,29,147,59,moderate
132,207,243,140,258,moderate
248,12,202,128,175,moderate
253,212,215,128,109,moderate
180,209,163,70,297,moderate
243,241,11,260,49,moderate
208,144,246,287,248,severe
189,20,126,27,230,moderate
13,149,12,70,261,moderate
136,295,185,125,165,moderate
22,48,104,106,241,moderate
98,170,138,22,116,moderate
136,92,107,141,232,moderate
61,269,195,298,5,moderate
292,54,155,80,36,moderate
73,83,255,196,131,moderate
4,31,143,9,118,mild
252,67,148,37,158,moderate
282,205,232,99,217,severe
72,166,13,110,110,mild
250,25,93,94,66,moderate
248,295,0,160,37,moderate
13,284,156,283,132,moderate
145,240,150,170,265,moderate
50,149,174,23,212,moderate
38,244,212,238,222,moderate
191,92,157,77,144,moderate
30,59,235,266,13,moderate
78,207,90,288,67,moderate
231,17,280,283,280,severe
157,132,124,108,133,moderate
134,196,85,109,3,moderate
198,234,41,34,289,moderate
133,129,14,175,78,moderate
281,275,94,75,9,moderate
144,66,10,63,139,mild
98,110,34,131,230,moderate
103,22,73,161,87,mild
111,184,66,298,78,moderate
278,194,205,268,113,severe
127,158,63,42,64,mild
31,294,67,116,120,moderate
85,59,33,261,172,moderate
75,48,180,71,231,moderate
266,35,181,105,297,moderate
174,275,283,255,179,severe
240,202,15,135,211,moderate
264,154,194,165,16,moderate
70,1,152,220,182,moderate
185,287,192,101,106,moderate
222,68,145,168,222,moderate
8,206,101,62,264,moderate
26,162,256,10,191,moderate
152,66,169,42,207,moderate
257,277,134,124,167,moderate
128,201,37,141,210,moderate
43,2,296,37,167,moderate
53,214,52,134,250,moderate
270,247,298,48,202,severe
179,78,6,39,63,mild
183,84,98,27,122,moderate
3,144,208,120,24,mild
265,263,266,188,230,severe
279,34,128,20,230,moderate
31,221,195,159,270,moderate
293,241,80,267,123,severe
46,120,227,135,234,moderate
223,183,244,111,27,moderate
34,51,120,100,220,moderate
63,48,163,206,151,moderate
40,284,210,99,187,moderate
25,249,3,103,107,mild
276,272,161,195,7,moderate
228,291,141,188,288,severe
133,4,102,148,96,mild
257,189,224,159,267,severe
256,237,241,65,202,severe
280,242,29,61,127,moderate
198,198,188,93,183,moderate
247,63,10,127,283,moderate
258,60,32,19,73,mild
225,208,11,285,114,moderate
222,128,102,147,103,moderate
285,185,265,252,298,severe
276,142,89,207,121,moderate
266,102,103,289,252,severe
86,218,251,286,219,severe
68,15,170,163,94,moderate
1,214,57,74,98,mild
168,125,60,24,79,mild
190,215,122,20,281,moderate
183,137,88,168,150,moderate
37,66,197,23,63,mild
286,153,57,155,199,moderate
53,131,137,182,59,moderate
135,199,11,272,76,moderate
103,95,224,62,297,moderate
138,33,106,186,44,moderate
255,281,268,62,168,severe
71,215,78,204,107,moderate
247,278,175,285,32,severe
153,213,148,140,95,moderate
281,297,196,186,119,severe
148,178,14,33,93,mild
4,147,158,9,147,mild
71,121,69,68,134,mild
23,130,174,48,92,mild
222,8,78,276,176,moderate
170,195,24,195,123,moderate
211,234,65,288,175,moderate
63,299,119,214,296,moderate
69,258,21,31,224,moderate
256,29,142,3,253,moderate
28,273,75,255,32,moderate
273,274,123,196,271,severe
79,198,275,135,275,moderate
131,37,92,178,239,moderate
189,34,81,232,136,moderate
131,9,2,141,122,mild
269,188,262,175,245,severe
175,222,246,260,3,moderate
4,31,241,178,247,moderate
192,195,173,47,7,moderate
264,2,100,34,73,mild
219,23,40,40,241,moderate
173,215,60,200,2,moderate
94,293,279,254,196,severe
108,173,118,18,90,moderate
109,213,239,276,36,moderate
242,226,183,218,263,severe
246,90,129,61,143,moderate
12,13,122,289,228,moderate
86,222,248,205,83,moderate
265,165,118,165,120,moderate
201,186,10,81,209,moderate
6,227,160,111,289,moderate
231,58,97,245,140,moderate
210,61,36,136,2,mild
67,123,141,180,97,moderate
136,155,93,10,131,moderate
117,52,204,83,90,moderate
234,170,170,238,183,moderate
276,298,232,162,173,severe
284,298,112,188,222,severe
102,259,23,60,292,moderate
235,253,291,39,49,moderate
252,114,263,78,180,moderate
220,110,71,17,232,moderate
293,198,86,71,109,moderate
105,40,142,45,163,mild
245,149,225,220,239,severe
79,111,241,130,78,moderate
66,55,252,270,75,moderate
158,169,126,107,134,moderate
94,43,173,66,201,moderate
158,44,97,223,296,moderate
94,158,294,204,174,moderate
165,9,169,299,181,moderate
292,238,80,158,72,moderate
137,64,295,184,217,moderate
263,59,36,82,196,moderate
169,175,275,30,145,moderate
38,262,188,109,162,moderate
229,136,36,292,270,moderate
3,34,272,147,4,mild
213,228,209,283,285,severe
188,28,210,259,36,moderate
78,194,208,280,15,moderate
248,22,294,123,235,moderate
99,24,45,105,281,moderate
295,44,287,211,219,severe
251,169,148,70,63,moderate
6,131,74,97,221,moderate
57,175,272,211,251,moderate
234,160,43,1,99,moderate
264,257,3,298,115,moderate
224,61,25,105,102,moderate
262,95,1,33,222,moderate
261,187,194,78,157,moderate
213,31,5,150,241,moderate
91,116,103,221,166,moderate
160,276,241,8,252,moderate
95,272,265,146,91,moderate
106,259,225,105,110,moderate
221,213,269,38,18,moderate
272,91,293,138,209,severe
238,168,30,178,236,moderate
172,178,169,195,151,moderate
72,255,139,65,119,moderate
21,241,131,59,71,moderate
257,156,169,102,147,moderate
22,57,92,63,246,mild
66,73,27,286,4,mild
15,272,298,238,154,moderate
150,265,184,38,133,moderate
232,172,34,164,160,moderate
173,61,201,74,104,moderate
206,180,268,88,232,moderate
1,73,69,263,279,moderate
81,259,180,89,17,moderate
33,236,186,195,52,moderate
203,203,153,126,20,moderate
287,98,106,268,181,moderate
266,108,262,276,34,moderate
14,195,241,184,285,moderate
124,57,136,229,110,moderate
188,42,44,36,299,moderate
170,22,179,258,291,moderate
111,166,101,174,147,moderate
65,263,62,237,285,moderate
45,139,48,215,111,moderate
152,184,100,159,226,moderate
257,258,14,48,293,moderate
124,33,146,32,228,moderate
27,129,268,173,5,moderate
101,150,195,65,183,moderate
117,41,137,184,4,mild
228,214,6,243,183,moderate
82,288,106,179,119,moderate
245,242,250,128,194,severe
178,16,16,227,89,moderate
209,271,197,298,144,severe
290,88,118,31,271,moderate
83,70,51,70,139,mild
262,26,52,195,278,moderate
9,189,175,109,272,moderate
157,212,218,58,165,moderate
259,10,163,175,236,moderate
158,182,242,28,114,moderate
266,255,159,198,182,severe
84,78,93,262,200,moderate
52,58,51,250,83,mild
155,245,92,47,265,moderate
230,210,182,214,75,moderate
76,178,282,197,102,moderate
157,223,69,115,129,moderate
172,298,23,216,258,moderate
236,293,89,127,134,moderate
213,185,190,118,137,moderate
43,213,66,119,284,moderate
23,222,205,238,270,moderate
180,170,6,137,113,moderate
141,4,154,292,195,moderate
58,205,88,258,193,moderate
11,47,134,153,68,mild
287,214,274,85,206,severe
150,248,259,174,219,severe
164,134,19,142,251,moderate
218,54,36,32,223,moderate
50,48,52,169,31,mild
161,4,95,107,1,mild
43,80,158,149,108,moderate
167,284,10,106,120,moderate
114,204,74,28,276,moderate
29,200,275,88,12,moderate
76,212,29,23,1,mild
80,67,184,294,248,moderate
205,197,37,200,162,moderate
3,56,119,29,92,mild
2,185,92,172,225,moderate
135,128,225,32,154,moderate
160,176,100,85,57,moderate
294,95,264,139,183,moderate
9,203,83,108,118,moderate
42,10,296,23,201,moderate
103,168,121,248,233,moderate
88,159,40,174,56,moderate
29,225,144,271,229,moderate
53,8,281,282,36,moderate
263,177,72,214,295,severe
171,190,165,80,213,moderate
177,129,162,203,82,moderate
192,286,51,107,292,moderate
269,13,142,214,118,moderate
167,278,117,229,52,moderate
94,255,132,74,115,moderate
92,202,213,167,192,moderate
233,29,144,175,109,moderate
81,232,262,186,135,moderate
237,57,53,179,91,moderate
75,36,88,234,1,mild
136,236,13,99,219,moderate
271,4,294,283,33,moderate
233,219,42,71,273,moderate
6,235,10,219,62,moderate
11,152,192,16,231,moderate
108,52,288,286,281,severe
208,287,175,264,38,moderate
156,218,167,29,49,moderate
6,160,168,34,248,moderate
212,281,287,249,215,severe
140,148,84,92,157,moderate
54,167,224,249,86,moderate
82,21,198,38,125,mild
127,168,10,106,78,mild
14,143,16,215,95,mild
164,265,103,9,18,moderate
14,138,16,175,3,mild
85,148,296,41,226,moderate
68,294,286,27,271,moderate
130,157,93,293,281,moderate
243,192,95,68,230,moderate
72,160,83,284,35,moderate
246,124,176,63,79,moderate
264,159,76,195,241,moderate
160,215,127,235,248,moderate
210,186,183,19,206,moderate
231,106,201,17,51,moderate
283,224,254,66,179,severe
69,174,153,159,290,moderate
254,115,216,212,240,severe
17,81,281,70,199,moderate
208,54,259,243,102,moderate
146,130,183,50,149,moderate
18,34,277,160,111,moderate
5,115,214,208,198,moderate
197,22,211,207,145,moderate
113,132,282,56,22,moderate
177,55,148,97,124,moderate
110,13,244,130,90,moderate
264,98,56,264,34,moderate
45,177,16,27,17,mild
26,201,39,22,105,mild
293,120,214,133,278,severe
12,20,15,187,188,mild
84,297,144,114,185,moderate
294,53,172,284,18,moderate
129,213,155,146,130,moderate
258,181,196,36,111,moderate
95,251,211,242,23,moderate
20,196,2,16,170,mild
284,201,22,100,83,moderate
21,207,115,54,159,moderate
173,18,155,122,295,moderate
78,135,222,21,220,moderate
75,195,205,13,239,moderate
202,181,119,142,4,moderate
131,80,296,226,14,moderate
125,79,128,153,143,moderate
244,115,191,241,291,severe
145,115,183,138,68,moderate
25,157,291,125,261,moderate
54,261,21,141,267,moderate
243,232,98,150,197,moderate
114,44,189,240,247,moderate
173,95,139,7,286,moderate
41,273,69,88,48,moderate
17,173,145,272,228,moderate
281,126,210,162,46,moderate
196,84,142,20,76,moderate
167,259,116,21,17,moderate
148,168,19,9,60,mild
238,95,232,50,201,moderate
196,155,40,228,266,moderate
126,235,286,268,134,severe
154,224,168,221,4,moderate
145,173,82,104,193,moderate
108,132,236,244,252,moderate
161,87,88,207,167,moderate
162,67,138,293,227,moderate
193,227,144,44,170,moderate
241,87,101,201,281,moderate
235,17,172,0,79,moderate
142,290,176,255,294,severe
279,60,129,274,118,moderate
260,224,232,204,157,severe
68,230,153,146,243,moderate
216,214,275,242,124,severe
45,145,270,241,46,moderate
97,118,87,29,4,mild
22,14,160,294,128,moderate
28,131,30,216,229,moderate
165,228,53,65,189,moderate
6,111,286,232,56,moderate
28,137,109,186,287,moderate
283,260,182,2,278,severe
29,46,292,49,48,mild
84,37,155,210,95,moderate
166,190,296,102,119,moderate
237,114,88,111,294,moderate
231,70,92,296,148,moderate
56,135,191,100,61,moderate
67,177,17,290,258,moderate
56,77,196,123,245,moderate
284,161,89,254,269,severe
93,223,255,238,171,moderate
63,248,232,157,285,moderate
81,279,242,288,144,severe
230,25,30,242,158,moderate
30,211,83,226,228,moderate
94,62,156,15,53,mild
276,216,283,148,173,severe
155,139,5,52,195,moderate
298,45,119,271,113,moderate
260,162,206,284,220,severe
288,47,146,146,159,moderate
27,47,152,35,282,moderate
112,222,175,57,284,moderate
231,243,9,235,28,moderate
199,224,22,279,14,moderate
167,215,99,69,20,moderate
113,193,193,23,284,moderate
49,277,44,135,206,moderate
69,267,256,176,33,moderate
181,5,62,272,74,moderate
232,47,19,298,92,moderate
12,48,12,219,82,mild
170,135,9,110,129,moderate
140,61,216,123,229,moderate
73,32,193,26,192,moderate
96,246,40,211,227,moderate
213,287,41,186,207,moderate
207,206,211,175,46,moderate
266,194,250,94,27,moderate
42,229,257,176,95,moderate
184,228,2,162,256,moderate
11,107,68,213,295,moderate
31,265,12,241,240,moderate
3,241,199,276,288,severe
199,201,189,289,34,moderate
219,102,196,32,170,moderate
34,163,75,110,122,moderate
133,242,112,269,68,moderate
133,129,77,61,168,moderate
162,290,91,291,170,severe
212,63,185,180,189,moderate
1,8,31,229,89,mild
40,122,2,193,210,moderate
120,223,10,280,150,moderate
222,62,164,243,223,moderate
171,188,239,207,252,severe
131,109,299,124,208,moderate
193,166,269,207,134,moderate
220,98,234,153,281,moderate
57,287,280,273,196,severe
95,211,107,144,79,moderate
213,291,99,145,64,moderate
17,9,174,215,171,moderate
110,97,189,239,165,moderate
224,265,126,193,194,severe
160,123,19,205,242,moderate
232,76,294,133,96,moderate
110,19,254,110,267,moderate
250,201,270,206,298,severe
198,287,94,126,59,moderate
181,28,104,99,34,mild
94,172,17,153,106,moderate
68,112,271,8,31,mild
152,91,40,210,157,moderate
54,44,139,297,56,moderate
188,77,59,140,256,moderate
148,260,51,277,235,moderate
167,294,205,13,36,moderate
10,214,97,251,99,moderate
217,53,156,77,298,moderate
136,207,229,161,163,moderate
150,173,48,269,140,moderate
196,60,69,241,186,moderate
61,226,168,283,134,moderate
27,236,147,65,116,moderate
0,229,142,161,250,moderate
43,218,117,289,20,moderate
15,271,197,37,145,moderate
33,148,94,97,275,moderate
259,109,123,116,163,moderate
61,136,115,299,67,moderate
194,41,257,296,178,moderate
169,220,89,207,123,moderate
123,115,168,266,167,moderate
13,171,226,49,173,moderate
54,63,256,225,139,moderate
71,90,278,222,107,moderate
37,295,157,6,292,moderate
226,11,144,217,178,moderate
121,73,230,37,291,moderate
5,65,113,187,278,moderate
105,148,200,50,158,moderate
175,88,190,230,163,moderate
40,229,281,43,61,moderate
196,263,248,193,195,severe
80,198,179,58,142,moderate
94,250,114,159,271,moderate
95,253,34,53,160,moderate
2,2,97,161,288,moderate
250,291,87,64,265,moderate
135,30,174,245,8,moderate
289,174,53,127,12,moderate
60,81,106,295,200,moderate
47,37,127,272,133,moderate
160,34,146,122,16,mild
184,99,122,110,111,moderate
8,72,47,232,272,moderate
68,85,84,105,43,mild
3,173,294,123,13,moderate
61,35,201,21,100,mild
119,54,63,2,50,mild
219,56,155,151,170,moderate
163,96,140,60,208,moderate
299,47,297,132,64,moderate
185,133,91,227,228,moderate
45,210,237,284,171,moderate
119,159,218,99,262,moderate
196,86,13,88,205,moderate
173,41,38,225,139,moderate
114,76,165,245,111,moderate
212,94,176,181,140,moderate
295,129,25,134,141,moderate
268,30,166,119,157,moderate
231,170,253,121,129,moderate
193,225,122,191,226,moderate
177,172,164,248,31,moderate
261,65,142,115,170,moderate
66,47,190,9,25,mild
217,138,89,115,78,moderate
204,224,71,110,227,moderate
95,294,188,297,65,moderate
133,10,204,107,280,moderate
240,138,277,217,80,moderate
99,215,41,294,66,moderate
84,226,53,241,74,moderate
130,286,270,15,198,moderate
288,240,61,4,270,moderate
53,149,202,64,70,moderate
237,265,76,186,206,moderate
289,40,200,133,169,moderate
74,139,137,193,130,moderate
272,267,112,64,65,moderate
198,98,120,247,69,moderate
69,20,4,78,36,mild
256,62,94,6,175,moderate
294,241,261,31,144,moderate
97,169,103,113,70,moderate
27,241,162,44,137,moderate
202,65,183,88,65,moderate
70,221,153,4,42,mild
202,221,104,166,195,moderate
175,32,81,152,223,moderate
275,225,126,156,5,moderate
112,58,12,116,293,moderate
120,17,110,5,239,mild
106,201,55,264,1,moderate
165,230,19,174,206,moderate
133,37,232,128,68,moderate
119,155,154,53,201,moderate
267,28,54,55,165,moderate
22,219,214,64,179,moderate
172,230,190,259,116,moderate
207,159,299,184,287,severe
78,41,205,274,248,moderate
296,17,272,154,274,severe
151,32,181,43,81,mild
254,70,39,49,49,mild
277,230,60,54,295,moderate
292,54,98,80,80,moderate
208,228,44,20,75,moderate
245,190,245,7,88,moderate
273,27,270,103,134,moderate
103,158,31,140,277,moderate
223,18,58,285,251,moderate
211,124,243,67,217,moderate
137,208,97,294,54,moderate
146,29,97,296,69,moderate
256,187,268,99,48,moderate
93,222,286,140,234,moderate
24,3,69,108,215,mild
208,31,179,59,208,moderate
18,45,270,38,56,mild
125,256,231,57,77,moderate
94,60,62,267,33,moderate
155,172,133,38,155,moderate
117,135,279,110,126,moderate
173,229,199,285,79,moderate
135,137,38,229,224,moderate
57,10,140,213,99,moderate
290,102,15,216,37,moderate
176,203,81,37,265,moderate
35,213,150,158,34,moderate
187,114,13,195,235,moderate
158,171,21,183,212,moderate
192,162,254,136,91,moderate
240,141,46,209,120,moderate
295,112,141,88,201,moderate
194,27,157,149,94,moderate
162,173,42,218,175,moderate
188,59,180,83,243,moderate
89,113,69,52,265,moderate
298,186,125,12,110,moderate
9,95,215,215,273,moderate
90,12,221,80,233,moderate
206,252,207,15,103,moderate
177,166,247,200,207,moderate
184,292,109,181,256,severe
247,62,211,275,176,moderate
117,128,25,173,230,moderate
17,104,280,25,36,mild
186,294,13,197,10,moderate
129,3,220,6,289,moderate
146,64,123,129,223,moderate
176,197,277,251,123,severe
64,298,158,119,297,moderate
116,162,89,187,198,moderate
115,213,61,235,15,moderate
168,193,286,181,208,severe
132,52,243,175,234,moderate
260,250,253,62,83,moderate
41,282,219,222,159,moderate
102,4,132,176,158,moderate
2,114,30,274,6,mild
168,112,267,256,294,severe
141,45,11,8,104,mild
265,18,37,255,40,moderate
88,13,96,222,65,mild
73,232,28,204,265,moderate
48,287,289,174,103,moderate
262,37,173,167,18,moderate
184,33,281,163,184,moderate
39,140,9,110,74,mild
261,265,268,275,56,severe
43,81,115,207,62,moderate
31,233,45,106,275,moderate
46,43,207,179,291,moderate
263,29,132,294,186,moderate
176,287,129,37,9,moderate
33,284,260,157,208,moderate
114,85,183,112,19,moderate
252,203,151,62,93,moderate
208,228,114,83,104,moderate
87,255,35,255,263,moderate
159,264,10,185,249,moderate
89,217,299,159,294,severe
291,142,110,164,216,moderate
